IP;BAN_DATE;UNBAN_DATE;REASON
5.45.66.55;1473166802;1475758802;"Брутфорс атака на сайт abuhtiyarov.com/Brute force attack on site abuhtiyarov.com"
5.45.114.103;1473555122;1476147125;"Паразитный трафик на сайт xn--80abh7ank1g.xn--80adi0aoagldk8i.pp.ua / Parasite traffic on site xn--80abh7ank1g.xn--80adi0aoagldk8i.pp.ua"
5.45.114.241;1474186082;1476778085;"Паразитный трафик на сайт kripeg.com.ua / Parasite traffic on site kripeg.com.ua"
5.45.121.118;1474018082;1476610084;"Паразитный трафик на сайт wedvideo.com.ua / Parasite traffic on site wedvideo.com.ua"
5.45.122.126;1473685503;1476277506;"Паразитный трафик на сайт helen-harper.com.ua / Parasite traffic on site helen-harper.com.ua"
5.53.198.105;1474093143;1476685145;"Паразитный трафик на сайт plod.vn.ua / Parasite traffic on site plod.vn.ua"
5.53.247.178;1474596301;1475201103;"Брутфорс атака на сайт data-hub.com.ua/Brute force attack on site data-hub.com.ua"
5.56.160.45;1473697561;1476289564;"Паразитный трафик на сайт xn--80ahb2bpj1a.com / Parasite traffic on site xn--80ahb2bpj1a.com"
5.57.226.209;1473987662;1476579663;"Паразитный трафик на сайт tortu.top / Parasite traffic on site tortu.top"
5.61.27.155;1473230342;1475822345;"Паразитный трафик на сайт wedvideo.com.ua / Parasite traffic on site wedvideo.com.ua"
5.76.153.81;1474786982;1474873390;"Паразитный трафик на сайт lylka.com / Parasite traffic on site lylka.com"
5.77.20.154;1474018021;1476610021;"Брутфорс атака на сайт creative-ex.com.ua/Brute force attack on site creative-ex.com.ua"
5.79.88.186;1474814761;1474901163;"Брутфорс атака на сайт ecoswit.com.ua/Brute force attack on site ecoswit.com.ua"
5.97.133.1;1474818437;1474904838;"Паразитный трафик на сайт teplo.net.ua / Parasite traffic on site teplo.net.ua"
5.101.156.15;1473166083;1475758085;"Паразитный трафик на сайт wedvideo.com.ua / Parasite traffic on site wedvideo.com.ua"
5.101.156.31;1473697561;1476289564;"Паразитный трафик на сайт xn--80ahb2bpj1a.com / Parasite traffic on site xn--80ahb2bpj1a.com"
5.101.156.43;1472926442;1475518444;"Паразитный трафик на сайт bikeremont.dn.ua / Parasite traffic on site bikeremont.dn.ua"
5.101.156.53;1473785522;1476377525;"Паразитный трафик на сайт motor-market.com.ua / Parasite traffic on site motor-market.com.ua"
5.101.156.55;1473077342;1475669342;"Паразитный трафик на сайт pokupka.lviv.ua / Parasite traffic on site pokupka.lviv.ua"
5.101.156.67;1472992562;1475584564;"Паразитный трафик на сайт priboyprimorsk.com / Parasite traffic on site priboyprimorsk.com"
5.101.156.68;1474380482;1476972484;"Паразитный трафик на сайт bikeremont.dn.ua / Parasite traffic on site bikeremont.dn.ua"
5.101.156.74;1473146102;1475738105;"Паразитный трафик на сайт kripeg.com.ua / Parasite traffic on site kripeg.com.ua"
5.101.156.75;1472704743;1475296748;"Паразитный трафик на сайт citation.in.ua / Parasite traffic on site citation.in.ua"
5.101.156.85;1474723022;1477315024;"Паразитный трафик на сайт bobershop.com.ua / Parasite traffic on site bobershop.com.ua"
5.101.156.96;1473394561;1475986564;"Паразитный трафик на сайт e-optika.com.ua / Parasite traffic on site e-optika.com.ua"
5.101.156.113;1473527101;1476119105;"Паразитный трафик на сайт wedvideo.com.ua / Parasite traffic on site wedvideo.com.ua"
5.101.156.114;1472358963;1474950964;"Паразитный трафик на сайт appartamento.com.ua / Parasite traffic on site appartamento.com.ua"
5.101.156.126;1472829063;1475421065;"Паразитный трафик на сайт wedvideo.com.ua / Parasite traffic on site wedvideo.com.ua"
5.101.156.138;1473620403;1476212404;"Паразитный трафик на сайт bobershop.com.ua / Parasite traffic on site bobershop.com.ua"
5.101.157.16;1472729042;1475321049;"Паразитный трафик на сайт kripeg.com.ua / Parasite traffic on site kripeg.com.ua"
5.101.157.18;1473178622;1475770623;"Паразитный трафик на сайт bobershop.com.ua / Parasite traffic on site bobershop.com.ua"
5.101.157.19;1472555582;1475147582;"Паразитный трафик на сайт tut-cikavo.com / Parasite traffic on site tut-cikavo.com"
5.101.157.20;1472613422;1475205424;"Паразитный трафик на сайт wedvideo.com.ua / Parasite traffic on site wedvideo.com.ua"
5.101.217.13;1472819462;1475411462;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.101.217.16;1472986621;1475578622;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.101.217.18;1472355121;1474947123;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.101.217.20;1472574722;1475166722;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.101.217.27;1472741102;1475333102;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.101.217.31;1472748242;1475340242;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.101.217.32;1472653742;1475245742;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.101.217.36;1473310141;1475902143;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.101.217.39;1472702042;1475294043;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.101.217.42;1473204422;1475796423;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.101.217.46;1473266822;1475858823;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.101.217.47;1473045841;1475637842;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.101.217.54;1473076262;1475668262;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.101.217.59;1474592764;1477184764;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.101.217.74;1472788863;1475380863;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.101.217.76;1472643662;1475235662;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.101.217.78;1473020402;1475612403;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.101.217.81;1472548262;1475140263;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.101.217.83;1472509862;1475101863;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.101.217.86;1472630341;1475222341;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.101.217.98;1472296442;1474888442;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.101.217.99;1472604422;1475196423;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.101.217.106;1472819462;1475411462;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.101.217.127;1473449222;1476041222;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.101.222.23;1474752602;1474839003;"Брутфорс атака на сайт studio-one-touch.ru/Brute force attack on site studio-one-touch.ru"
5.101.222.31;1472963462;1475555463;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.101.222.32;1472757242;1475349242;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.101.222.33;1473153662;1475745662;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.101.222.37;1472496481;1475088482;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.101.222.38;1472565122;1475157122;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.101.222.39;1473490682;1476082682;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.101.222.44;1473204422;1475796422;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.101.222.52;1472974802;1475566803;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.101.222.54;1472748242;1475340242;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.101.222.56;1474689482;1475294282;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.101.222.57;1472997841;1475589842;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.101.222.61;1473543902;1476135902;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.101.222.65;1473422942;1476014943;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.101.222.67;1472574722;1475166722;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.101.222.70;1473369122;1475961123;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.101.222.71;1473310141;1475902142;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.101.222.72;1472767564;1475359564;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.101.222.74;1473449222;1476041222;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.101.222.82;1473054003;1475646004;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.101.222.92;1473135122;1475727122;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.101.222.93;1472615222;1475207222;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.101.222.95;1472799303;1475391303;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.101.222.103;1472279402;1474871403;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.101.222.104;1474752602;1474839003;"Брутфорс атака на сайт studio-one-touch.ru/Brute force attack on site studio-one-touch.ru"
5.101.222.106;1472574722;1475166722;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.101.222.111;1473379565;1475971565;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.101.222.119;1472702042;1475294043;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.101.222.120;1473337682;1475929682;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
5.101.222.123;1473109681;1475701682;"Брутфорс атака на сайт voenka.info/Brute force attack on site voenka.info"
