IP;BAN_DATE;UNBAN_DATE;REASON
1.52.63.127;1467980582;1468066985;"Паразитный трафик на сайт pomidor.ua / Parasite traffic on site pomidor.ua"
1.52.119.231;1467999062;1468085466;"Паразитный трафик на сайт pomidor.ua / Parasite traffic on site pomidor.ua"
1.52.120.136;1467980882;1468067285;"Паразитный трафик на сайт evsigneev.com / Parasite traffic on site evsigneev.com"
1.52.120.225;1468000323;1468086726;"Паразитный трафик на сайт buygoodwine.com.ua / Parasite traffic on site buygoodwine.com.ua"
1.52.121.6;1467986461;1468072864;"Паразитный трафик на сайт buygoodwine.com.ua / Parasite traffic on site buygoodwine.com.ua"
1.52.121.68;1467995162;1468081565;"Паразитный трафик на сайт coral-club24.com / Parasite traffic on site coral-club24.com"
1.52.121.162;1467988414;1468074821;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.52.122.160;1468047422;1468133826;"Паразитный трафик на сайт buygoodwine.com.ua / Parasite traffic on site buygoodwine.com.ua"
1.52.123.16;1467988414;1468074821;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.52.123.149;1467995162;1468081565;"Паразитный трафик на сайт coral-club24.com / Parasite traffic on site coral-club24.com"
1.52.123.195;1467988414;1468074821;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.52.123.237;1468036142;1468122544;"Паразитный трафик на сайт geo-sintetika.pl / Parasite traffic on site geo-sintetika.pl"
1.52.124.60;1467988414;1468074821;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.52.124.146;1467993302;1468079705;"Паразитный трафик на сайт evsigneev.com / Parasite traffic on site evsigneev.com"
1.52.125.56;1467988414;1468074821;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.52.126.102;1468035242;1468121644;"Паразитный трафик на сайт evsigneev.com / Parasite traffic on site evsigneev.com"
1.52.126.226;1468055883;1468142285;"Паразитный трафик на сайт coral-club24.com / Parasite traffic on site coral-club24.com"
1.52.127.62;1468048263;1468134665;"Паразитный трафик на сайт evsigneev.com / Parasite traffic on site evsigneev.com"
1.52.188.156;1467988414;1468074821;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.52.225.176;1468027022;1468113427;"Паразитный трафик на сайт evsigneev.com / Parasite traffic on site evsigneev.com"
1.53.24.140;1467988414;1468074821;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.53.76.44;1467988414;1468074821;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.53.127.113;1468047422;1468133826;"Паразитный трафик на сайт buygoodwine.com.ua / Parasite traffic on site buygoodwine.com.ua"
1.53.240.53;1468000323;1468086726;"Паразитный трафик на сайт buygoodwine.com.ua / Parasite traffic on site buygoodwine.com.ua"
1.53.247.131;1467988414;1468074821;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.54.36.84;1468041721;1468128131;"Паразитный трафик на сайт evsigneev.com / Parasite traffic on site evsigneev.com"
1.54.44.47;1467988414;1468074821;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.54.92.179;1468041721;1468128131;"Паразитный трафик на сайт evsigneev.com / Parasite traffic on site evsigneev.com"
1.54.96.79;1467988414;1468074820;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.54.144.226;1467988414;1468074821;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.54.147.114;1468035242;1468121644;"Паразитный трафик на сайт evsigneev.com / Parasite traffic on site evsigneev.com"
1.54.208.37;1467988414;1468074821;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.54.208.153;1468006081;1468092484;"Паразитный трафик на сайт buygoodwine.com.ua / Parasite traffic on site buygoodwine.com.ua"
1.54.209.235;1467988414;1468074821;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.54.210.62;1467988414;1468074821;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.54.210.175;1468035242;1468121644;"Паразитный трафик на сайт evsigneev.com / Parasite traffic on site evsigneev.com"
1.54.210.243;1468064521;1468150924;"Паразитный трафик на сайт buygoodwine.com.ua / Parasite traffic on site buygoodwine.com.ua"
1.54.211.20;1468054323;1468140725;"Паразитный трафик на сайт evsigneev.com / Parasite traffic on site evsigneev.com"
1.54.212.42;1468064521;1468150924;"Паразитный трафик на сайт buygoodwine.com.ua / Parasite traffic on site buygoodwine.com.ua"
1.54.212.152;1468012022;1468098427;"Паразитный трафик на сайт pomidor.ua / Parasite traffic on site pomidor.ua"
1.54.212.253;1468047002;1468133406;"Паразитный трафик на сайт coral-club24.com / Parasite traffic on site coral-club24.com"
1.54.213.158;1467988414;1468074821;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.54.213.237;1468004522;1468090924;"Паразитный трафик на сайт geo-sintetika.pl / Parasite traffic on site geo-sintetika.pl"
1.54.214.24;1467988414;1468074821;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.54.214.102;1467988414;1468074821;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.55.41.81;1467988414;1468074820;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.55.43.27;1467981002;1468067404;"Паразитный трафик на сайт buygoodwine.com.ua / Parasite traffic on site buygoodwine.com.ua"
1.55.46.34;1467988414;1468074820;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.55.47.127;1467988414;1468074820;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.55.47.227;1467988414;1468074819;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.55.78.40;1467988414;1468074819;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.55.100.189;1467988414;1468074820;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.55.109.225;1467988414;1468074820;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.55.129.246;1467988414;1468074820;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.55.132.72;1468060022;1468146424;"Паразитный трафик на сайт evsigneev.com / Parasite traffic on site evsigneev.com"
1.55.150.79;1467988414;1468074820;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.55.155.88;1467980882;1468067285;"Паразитный трафик на сайт evsigneev.com / Parasite traffic on site evsigneev.com"
1.55.169.113;1467985802;1468072204;"Паразитный трафик на сайт pomidor.ua / Parasite traffic on site pomidor.ua"
1.55.176.74;1467988414;1468074820;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.55.176.98;1468023962;1468110365;"Паразитный трафик на сайт sapiostudio.com / Parasite traffic on site sapiostudio.com"
1.55.177.18;1467988414;1468074820;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.55.177.63;1467988414;1468074820;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.55.177.251;1467988414;1468074820;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.55.179.35;1468034822;1468121224;"Паразитный трафик на сайт pomidor.ua / Parasite traffic on site pomidor.ua"
1.55.179.139;1467990182;1468076584;"Паразитный трафик на сайт geo-sintetika.pl / Parasite traffic on site geo-sintetika.pl"
1.55.180.183;1467988414;1468074820;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.55.181.194;1467988414;1468074820;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.55.183.221;1468041482;1468127884;"Паразитный трафик на сайт coral-club24.com / Parasite traffic on site coral-club24.com"
1.55.183.234;1468064521;1468150924;"Паразитный трафик на сайт buygoodwine.com.ua / Parasite traffic on site buygoodwine.com.ua"
1.55.183.235;1467988414;1468074820;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.55.192.109;1467988414;1468074820;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.55.194.37;1467988414;1468074820;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.55.195.93;1468023962;1468110365;"Паразитный трафик на сайт sapiostudio.com / Parasite traffic on site sapiostudio.com"
1.55.195.121;1467988414;1468074820;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.55.195.202;1468053542;1468139945;"Паразитный трафик на сайт pomidor.ua / Parasite traffic on site pomidor.ua"
1.55.195.224;1468027022;1468113427;"Паразитный трафик на сайт evsigneev.com / Parasite traffic on site evsigneev.com"
1.55.195.239;1468049281;1468135684;"Паразитный трафик на сайт geo-sintetika.pl / Parasite traffic on site geo-sintetika.pl"
1.55.196.11;1467992582;1468078985;"Паразитный трафик на сайт pomidor.ua / Parasite traffic on site pomidor.ua"
1.55.196.96;1467988414;1468074820;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.55.198.18;1467988414;1468074820;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.55.198.237;1467988414;1468074820;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.55.216.50;1468047422;1468133826;"Паразитный трафик на сайт buygoodwine.com.ua / Parasite traffic on site buygoodwine.com.ua"
1.55.228.132;1467988414;1468074820;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.56.245.183;1468005123;1468091524;"Брутфорс атака на сайт gt-nrg.com/Brute force attack on site gt-nrg.com"
1.163.244.167;1467988455;1468074857;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.165.24.79;1467986222;1468072624;"Паразитный трафик на сайт evsigneev.com / Parasite traffic on site evsigneev.com"
1.168.85.232;1467988455;1468074857;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.173.68.109;1467988414;1468074841;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.179.170.99;1467988414;1468074840;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.179.203.117;1467988414;1468074840;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.182.113.169;1467980582;1468066985;"Паразитный трафик на сайт pomidor.ua / Parasite traffic on site pomidor.ua"
1.186.24.212;1467988414;1468074840;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.186.37.82;1467988414;1468074840;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.186.37.87;1467988414;1468074840;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.186.37.94;1467988414;1468074840;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.186.37.102;1467988414;1468074840;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.186.37.105;1467988414;1468074840;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.186.37.113;1467988414;1468074840;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.186.38.64;1468053542;1468139945;"Паразитный трафик на сайт pomidor.ua / Parasite traffic on site pomidor.ua"
1.186.41.13;1467988414;1468074840;"Паразитные HTTP запросы к вебсайтам/HTTP flood requests to the websites"
1.186.76.10;1468012022;1468098427;"Паразитный трафик на сайт pomidor.ua / Parasite traffic on site pomidor.ua"
